company,ticker,link
"Alon USA Energy, Inc.",ALJ,https://www.wikipedia.org/wiki/Alon_USA
"Altria Group, Inc.",MO,https://www.wikipedia.org/wiki/Altria
Aluminum Corporation of China Ltd,ACH,https://www.wikipedia.org/wiki/Aluminum_Corporation_of_China_Limited
"Amber Road, Inc.",AMBR,"https://www.wikipedia.org/wiki/Amber_Road,_Inc."
Ambev S.A.,ABEV,https://www.wikipedia.org/wiki/AmBev
"AMC Entertainment Holdings, Inc.",AMC,https://www.wikipedia.org/wiki/AMC_Theatres
Amec Foster Wheeler PLC,AMFW,https://www.wikipedia.org/wiki/Amec_Foster_Wheeler
Ameren Corporation,AEE,https://www.wikipedia.org/wiki/Ameren
"Ameresco, Inc.",AMRC,https://www.wikipedia.org/w/index.php?title=Ameresco&action=edit&redlink=1
"American Axle & Manufacturing Holdings, Inc.",AXL,https://www.wikipedia.org/wiki/American_Axle
"American Campus Communities, Inc.",ACC,https://www.wikipedia.org/wiki/American_Campus_Communities
"American Eagle Outfitters, Inc.",AEO,https://www.wikipedia.org/wiki/American_Eagle_Outfitters
American Electric Power Company,AEP,https://www.wikipedia.org/wiki/American_Electric_Power
American Express Company,AXP,https://www.wikipedia.org/wiki/American_Express
American Financial Group Inc.,AFG,https://www.wikipedia.org/wiki/American_Financial_Group
American Homes 4 Rent,AMH,https://www.wikipedia.org/wiki/American_Homes_4_Rent
American International Group Inc,AIG,https://www.wikipedia.org/wiki/American_International_Group
American States Water Co.,AWR,https://www.wikipedia.org/wiki/American_States_Water
American Tower,AMT,https://www.wikipedia.org/wiki/American_Tower
"American Water Works Company, Inc.",AWK,https://www.wikipedia.org/wiki/American_Water_(company)
Amerigas Partners lp,APU,https://www.wikipedia.org/wiki/UGI_Corporation
"Ameriprise Financial, Inc.",AMP,https://www.wikipedia.org/wiki/Ameriprise_Financial
AmerisourceBergen Corporation,ABC,https://www.wikipedia.org/wiki/AmerisourceBergen
Ametek Inc.,AME,https://www.wikipedia.org/wiki/Ametek
Amira Nature Foods Ltd,ANFI,https://www.wikipedia.org/wiki/Amira_Nature_Foods
Ampco-Pittsburgh Corporation,AP,https://www.wikipedia.org/wiki/Ampco_Pittsburgh
Amphenol Corporation,APH,https://www.wikipedia.org/wiki/Amphenol
AMREP Corporation,AXR,https://www.wikipedia.org/wiki/Amrep_Corporation
"AmTrust Financial Services, Inc.",AFSI.PRA,"https://www.wikipedia.org/wiki/AmTrust_Financial_Services,_Inc."
"AmTrust Financial Services, Inc.",AFSI.PRB,"https://www.wikipedia.org/wiki/AmTrust_Financial_Services,_Inc."
"AmTrust Financial Services, Inc.",AFSI.PRC,"https://www.wikipedia.org/wiki/AmTrust_Financial_Services,_Inc."
"AmTrust Financial Services, Inc.",AFSI.PRD,"https://www.wikipedia.org/wiki/AmTrust_Financial_Services,_Inc."
"AmTrust Financial Services, Inc.",AFSI.PRE,"https://www.wikipedia.org/wiki/AmTrust_Financial_Services,_Inc."
"AmTrust Financial Services, Inc.",AFSI.PRF,"https://www.wikipedia.org/wiki/AmTrust_Financial_Services,_Inc."
América Móvil S.A.B de C.V.,AMX,https://www.wikipedia.org/wiki/Am%C3%A9rica_M%C3%B3vil
América Móvil S.A.B de C.V.,AMOV,https://www.wikipedia.org/wiki/Am%C3%A9rica_M%C3%B3vil
AngloGold Ashanti Limited,AU,https://www.wikipedia.org/wiki/AngloGold_Ashanti
Anheuser-Busch Inbev SA/NV,BUD,https://www.wikipedia.org/wiki/Anheuser-Busch_InBev
Anixter International Inc.,AXE,https://www.wikipedia.org/wiki/Anixter
Anthem Inc.,ANTM,https://www.wikipedia.org/wiki/Anthem_Inc.
Anthem Inc.,ANTX,https://www.wikipedia.org/wiki/Anthem_Inc.
Anworth Mortgage Asset Corporation,ANH,https://www.wikipedia.org/wiki/Anworth_Mortgage_Asset_Corporation
Aon Corporation,AON,https://www.wikipedia.org/wiki/Aon_(company)
APA Corporation,APA,https://www.wikipedia.org/wiki/APA_Corporation
Apartment Investment & Management Company,AIV,https://www.wikipedia.org/wiki/Aimco
"Apollo Commercial Real Estate Finance, Inc.",ARI,https://www.wikipedia.org/wiki/Apollo_Global_Management
"Apollo Global Management, LLC",APO,https://www.wikipedia.org/wiki/Apollo_Global_Management
Apollo Investment Corporation,AIB,https://www.wikipedia.org/wiki/Apollo_Global_Management
"Applied Industrial Technologies, Inc.",AIT,https://www.wikipedia.org/wiki/Applied_Industrial_Technologies
"Aqua America, Inc.",WTR,https://www.wikipedia.org/wiki/Aqua_America
Aramark,ARMK,https://www.wikipedia.org/wiki/Aramark
"ARC Document Solutions, Inc.",ARC,https://www.wikipedia.org/wiki/ARC_Document_Solutions
ArcelorMittal,MT,https://www.wikipedia.org/wiki/ArcelorMittal
Arch Capital Group Ltd.,ARH.PRC,https://www.wikipedia.org/wiki/Arch_Capital_Group
Arch Coal Inc,ARCH,https://www.wikipedia.org/wiki/Arch_Coal
Archer Daniels Midland Co.,ADM,https://www.wikipedia.org/wiki/Archer_Daniels_Midland
Arconic Inc.,ARNC,https://www.wikipedia.org/wiki/Arconic
Arconic Inc.,ARNC.PR,https://www.wikipedia.org/wiki/Arconic
Arconic Inc.,ARNC.PRB,https://www.wikipedia.org/wiki/Arconic
Arcos Dorados Holdings Inc.,ARCO,https://www.wikipedia.org/wiki/Arcos_Dorados_Holdings
"Ares Management, L.P.",ARES,https://www.wikipedia.org/wiki/Ares_Management
"Ares Management, L.P.",ARES.PRA,https://www.wikipedia.org/wiki/Ares_Management
Arista Networks,ANET,https://www.wikipedia.org/wiki/Arista_Networks
Arlington Asset Investment Corporation,AI,https://www.wikipedia.org/wiki/Arlington_Asset_Investment
"Armstrong World Industries, Inc.",AWI,https://www.wikipedia.org/wiki/Armstrong_World_Industries
Arrow Electronics Inc,ARW,https://www.wikipedia.org/wiki/Arrow_Electronics
Arthur J.Gallagher & Co.,AJG,https://www.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.
Artisan Partners Asset Management Inc.,APAM,https://www.wikipedia.org/wiki/Artisan_Partners
"Asbury Automotive Group, Inc.",ABG,https://www.wikipedia.org/wiki/Asbury_Automotive_Group
Ashland Inc.,ASH,https://www.wikipedia.org/wiki/Ashland_Inc.
"The Asia Pacific Fund, Inc.",APB,https://www.wikipedia.org/wiki/Massachusetts_Mutual_Life_Insurance_Company
Associated Banc-Corp,ASB,https://www.wikipedia.org/wiki/Associated_Banc-Corp
Associated Banc-Corp,ASB.PRC,https://www.wikipedia.org/wiki/Associated_Banc-Corp
Associated Banc-Corp,ASB.PRD,https://www.wikipedia.org/wiki/Associated_Banc-Corp
"Assurant, Inc.",AIZ,https://www.wikipedia.org/wiki/Assurant
Astoria Financial Corporation,AF,https://www.wikipedia.org/wiki/Astoria_Bank
AstraZeneca Group plc,AZN,https://www.wikipedia.org/wiki/AstraZeneca
AT&T Inc.,T,https://www.wikipedia.org/wiki/AT%26T
Atento,ATTO,https://www.wikipedia.org/wiki/Atento
Atlantic Power Corporation,AT,https://www.wikipedia.org/wiki/Atlantic_Power_Corporation
Atmos Energy Corporation,ATO,https://www.wikipedia.org/wiki/Atmos_Energy
AU Optronics Corp.,AUO,https://www.wikipedia.org/wiki/AU_Optronics
"Audacy, Inc.",AUD,"https://www.wikipedia.org/wiki/Audacy,_Inc."
Autoliv Inc.,ALV,https://www.wikipedia.org/wiki/Autoliv
Autonation Inc,AN,https://www.wikipedia.org/wiki/AutoNation
"AutoZone, Inc",AZO,https://www.wikipedia.org/wiki/AutoZone
"AvalonBay Communities, Inc.",AVB,https://www.wikipedia.org/wiki/AvalonBay_Communities
Avangrid,AGR,https://www.wikipedia.org/wiki/Avangrid
Avery Dennison Corporation,AVY,https://www.wikipedia.org/wiki/Avery_Dennison
Avianca Holdings S.A.,AVH,https://www.wikipedia.org/wiki/Avianca_Holdings
Avista Corporation,AVA,https://www.wikipedia.org/wiki/Avista
Avnet Inc,AVT,https://www.wikipedia.org/wiki/Avnet
"Avon Products, Inc.",AVP,https://www.wikipedia.org/wiki/Avon_Products
Avx Corporation,AVX,https://www.wikipedia.org/wiki/AVX_Corporation
Axalta Coating Systems,AXTA,https://www.wikipedia.org/wiki/Axalta_Coating_Systems
Axovant Sciences,AXON,https://www.wikipedia.org/wiki/Axovant_Sciences
Azure Power,AZRE,https://www.wikipedia.org/wiki/Azure_Power
B&G Foods,BGS,https://www.wikipedia.org/wiki/B%26G_Foods
Babcock & Wilcox,BWC,https://www.wikipedia.org/wiki/Babcock_%26_Wilcox
Baker Hughes,BKR,https://www.wikipedia.org/wiki/Baker_Hughes
Ball Corporation,BLL,https://www.wikipedia.org/wiki/Ball_Corporation
Bally Technologies,BYI,https://www.wikipedia.org/wiki/Bally_Technologies
Banc of California,BANC,https://www.wikipedia.org/wiki/Banc_of_California
Banco Bilbao Vizcaya Argentaria,BBVA,https://www.wikipedia.org/wiki/Banco_Bilbao_Vizcaya_Argentaria
Banco Bradesco,BBD,https://www.wikipedia.org/wiki/Banco_Bradesco
Banco de Chile,BCH,https://www.wikipedia.org/wiki/Banco_de_Chile
Banco Macro,BMA,https://www.wikipedia.org/wiki/Banco_Macro
Banco Santander,SAN,https://www.wikipedia.org/wiki/Banco_Santander
Banco Santander (Brasil),BSBR,https://www.wikipedia.org/wiki/Santander_Brasil
Banco Santander-Chile,BSAC,https://www.wikipedia.org/wiki/Banco_Santander-Chile
Bancolombia,CIB,https://www.wikipedia.org/wiki/Bancolombia
BancorpSouth,BXS,https://www.wikipedia.org/wiki/BancorpSouth
Bank of America,BAC,https://www.wikipedia.org/wiki/Bank_of_America
Bank of Hawaii,BOH,https://www.wikipedia.org/wiki/Bank_of_Hawaii
The Bank of New York Mellon,BK,https://www.wikipedia.org/wiki/The_Bank_of_New_York_Mellon
Scotiabank,BNS,https://www.wikipedia.org/wiki/Scotiabank
Bankrate,RATE,https://www.wikipedia.org/wiki/Bankrate
BankUnited,BKU,https://www.wikipedia.org/wiki/BankUnited
Barclays,BCS,https://www.wikipedia.org/wiki/Barclays
Barnes Group,B,https://www.wikipedia.org/wiki/Barnes_Group
Barracuda Networks,CUDA,https://www.wikipedia.org/wiki/Barracuda_Networks
Barrick Gold,ABX,https://www.wikipedia.org/wiki/Barrick_Gold
Baxter International,BAX,https://www.wikipedia.org/wiki/Baxter_International
Baytex Energy,BTE,https://www.wikipedia.org/wiki/Baytex_Energy
BBVA Banco Francés,BFR,https://www.wikipedia.org/wiki/BBVA_Banco_Franc%C3%A9s
BankAtlantic,BBX,https://www.wikipedia.org/wiki/BankAtlantic
Bell Canada,BCE,https://www.wikipedia.org/wiki/Bell_Canada
Beazer Homes USA,BZH,https://www.wikipedia.org/wiki/Beazer_Homes_USA
Becton Dickinson,BDX,https://www.wikipedia.org/wiki/Becton_Dickinson
Belden,BDC,https://www.wikipedia.org/wiki/Belden_(electronics_company)
Belmond,BEL,https://www.wikipedia.org/wiki/Belmond_Limited
Bemis Company,BMS,https://www.wikipedia.org/wiki/Bemis_Company
Benchmark Electronics,BHE,https://www.wikipedia.org/wiki/Benchmark_Electronics
Berkshire Hathaway,BRK.A & BRK.B,https://www.wikipedia.org/wiki/Berkshire_Hathaway
Berry Plastics,BERY,https://www.wikipedia.org/wiki/Berry_Plastics
Best Buy,BBY,https://www.wikipedia.org/wiki/Best_Buy
BGC Partners,BGCA,https://www.wikipedia.org/wiki/BGC_Partners
BHP,BBL & BHP,https://www.wikipedia.org/wiki/BHP
Big Lots,BIG,https://www.wikipedia.org/wiki/Big_Lots
Biglari Holdings,BH,https://www.wikipedia.org/wiki/Biglari_Holdings
Bill Barrett Corporation,BBG,https://www.wikipedia.org/wiki/Bill_Barrett_Corporation
Bio-Rad Laboratories,BIO,https://www.wikipedia.org/wiki/Bio-Rad_Laboratories
BioAmber,BIOA,https://www.wikipedia.org/wiki/BioAmber
Black Hills Corporation,BKH,https://www.wikipedia.org/wiki/Black_Hills_Corporation
BlackRock,BLK,https://www.wikipedia.org/wiki/BlackRock
The Blackstone Group,BX,https://www.wikipedia.org/wiki/The_Blackstone_Group
BlueLinx,BXC,https://www.wikipedia.org/wiki/BlueLinx
Blyth,BTH,https://www.wikipedia.org/wiki/Blyth_Inc
BMO Financial Group,BMO,https://www.wikipedia.org/wiki/Bank_of_Montreal
Boeing,BA,https://www.wikipedia.org/wiki/Boeing
Boise Cascade,BCC,https://www.wikipedia.org/wiki/Boise_Cascade
Booz Allen Hamilton,BAH,https://www.wikipedia.org/wiki/Booz_Allen_Hamilton
BorgWarner,BWA,https://www.wikipedia.org/wiki/BorgWarner
Boston Beer Co,SAM,https://www.wikipedia.org/wiki/Samuel_Adams_(beer)
Boston Properties,BXP,https://www.wikipedia.org/wiki/Boston_Properties
Boston Scientific,BSX,https://www.wikipedia.org/wiki/Boston_Scientific
Boyd Gaming,BYD,https://www.wikipedia.org/wiki/Boyd_Gaming
BP,BP,https://www.wikipedia.org/wiki/BP
BP Prudhoe Bay Royalty Trust,BPT,https://www.wikipedia.org/wiki/BP_Prudhoe_Bay_Royalty_Trust
Brady Corporation,BRC,https://www.wikipedia.org/wiki/Brady_Corporation
Brandywine Realty Trust,BDN,https://www.wikipedia.org/wiki/Brandywine_Realty_Trust
Braskem,BAK,https://www.wikipedia.org/wiki/Braskem
BRF S.A.,BRFS,https://www.wikipedia.org/wiki/BRF_S.A.
Briggs & Stratton,BGG,https://www.wikipedia.org/wiki/Briggs_%26_Stratton
Bright Horizons Family Solutions,BFAM,https://www.wikipedia.org/wiki/Bright_Horizons_Family_Solutions
Brinker International,EAT,https://www.wikipedia.org/wiki/Brinker_International
Brink's,BCO,https://www.wikipedia.org/wiki/Brink%27s
Bristol-Myers Squibb,BMY,https://www.wikipedia.org/wiki/Bristol-Myers_Squibb
Bristow Helicopters,BRS,https://www.wikipedia.org/wiki/Bristow_Helicopters
Broadridge Financial Solutions,BR,https://www.wikipedia.org/wiki/Broadridge_Financial_Solutions
Brookdale Senior Living,BKD,https://www.wikipedia.org/wiki/Brookdale_Senior_Living
Brookfield Asset Management,BAM,https://www.wikipedia.org/wiki/Brookfield_Asset_Management
Brookfield Infrastructure Partners,BIP,https://www.wikipedia.org/wiki/Brookfield_Infrastructure_Partners
Brookfield Renewable,BEP,https://www.wikipedia.org/wiki/Brookfield_Renewable
Brookfield Residential,BRP,https://www.wikipedia.org/wiki/Brookfield_Residential
Brown & Brown,BRO,https://www.wikipedia.org/wiki/Brown_%26_Brown
Brown-Forman,BF.A & BF.B,https://www.wikipedia.org/wiki/Brown-Forman
Brown Shoe,BWS,https://www.wikipedia.org/wiki/Brown_Shoe
Brunswick Corporation,BC,https://www.wikipedia.org/wiki/Brunswick_Corporation
BT Group,BT,https://www.wikipedia.org/wiki/BT_Group
Buckeye Partners,BPL,https://www.wikipedia.org/wiki/Buckeye_Partners
The Buckle,BKE,https://www.wikipedia.org/wiki/Buckle_(clothing_retailer)
Build-A-Bear Workshop,BBW,https://www.wikipedia.org/wiki/Build-A-Bear_Workshop
Bunge,BG,https://www.wikipedia.org/wiki/Bunge_Limited
Burlington Coat Factory,BURL,https://www.wikipedia.org/wiki/Burlington_Coat_Factory
C. R. Bard,BCR,https://www.wikipedia.org/wiki/C._R._Bard
Cabela's,CAB,https://www.wikipedia.org/wiki/Cabela%27s
Cabot Corporation,CBT,https://www.wikipedia.org/wiki/Cabot_Corporation
Coterra,CTRA,https://www.wikipedia.org/wiki/Coterra
CACI,CACI,https://www.wikipedia.org/wiki/CACI
CAE Inc.,CAE,https://www.wikipedia.org/wiki/CAE_Inc.
Calgon Carbon,CCC,https://www.wikipedia.org/wiki/Calgon_Carbon
Calix Inc.,CALX,https://www.wikipedia.org/wiki/Calix_Inc.
Callaway Golf Company,ELY,https://www.wikipedia.org/wiki/Callaway_Golf_Company
Calpine,CPN,https://www.wikipedia.org/wiki/Calpine
Cambrex Corporation,CBM,https://www.wikipedia.org/wiki/Cambrex_Corporation
Camden Property Trust,CPT,https://www.wikipedia.org/wiki/Camden_Property_Trust
Cameco,CCJ,https://www.wikipedia.org/wiki/Cameco
Cameron International,CAM,https://www.wikipedia.org/wiki/Cameron_International
Campbell Soup Company,CPB,https://www.wikipedia.org/wiki/Campbell_Soup_Company
Canada Goose Holdings Inc.,GOOS,https://www.wikipedia.org/wiki/Canada_Goose_(clothing)
Canadian Imperial Bank of Commerce,CM,https://www.wikipedia.org/wiki/Canadian_Imperial_Bank_of_Commerce
Canadian National Railway,CNI,https://www.wikipedia.org/wiki/Canadian_National_Railway
Canadian Natural Resources,CNQ,https://www.wikipedia.org/wiki/Canadian_Natural_Resources
Canadian Pacific Railway,CP,https://www.wikipedia.org/wiki/Canadian_Pacific_Railway
Canon Inc.,CAJ,https://www.wikipedia.org/wiki/Canon_Inc.
Canopy Growth Corporation,CGC,https://www.wikipedia.org/wiki/Canopy_Growth_Corporation
Cantel Medical Corporation,CMN,https://www.wikipedia.org/wiki/Cantel_Medical_Corporation
Capital One,COF,https://www.wikipedia.org/wiki/Capital_One
Capital Senior Living,CSU,https://www.wikipedia.org/wiki/Capital_Senior_Living
Cardinal Health,CAH,https://www.wikipedia.org/wiki/Cardinal_Health
Care.com,CRCM,https://www.wikipedia.org/wiki/Care.com
CareFusion,CFN,https://www.wikipedia.org/wiki/CareFusion
Carlisle Companies,CSL,https://www.wikipedia.org/wiki/Carlisle_Companies
CarMax,KMX,https://www.wikipedia.org/wiki/CarMax
Carnival Corporation & plc,CCL,https://www.wikipedia.org/wiki/Carnival_Corporation_%26_plc
Carnival Corporation & plc,CUK,https://www.wikipedia.org/wiki/Carnival_Corporation_%26_plc
Carpenter Technology Corporation,CRS,https://www.wikipedia.org/wiki/Carpenter_Technology_Corporation
"Carter's, Inc.",CRI,"https://www.wikipedia.org/wiki/Carter%27s,_Inc."
Cash America International,CSH,https://www.wikipedia.org/wiki/Cash_America_International
Castlight Health,CSLT,https://www.wikipedia.org/wiki/Castlight_Health
Caterpillar Inc.,CAT,https://www.wikipedia.org/wiki/Caterpillar_Inc.
Cato Corporation,CATO,https://www.wikipedia.org/wiki/Cato_Corporation
CBL & Associates Properties,CBL,https://www.wikipedia.org/wiki/CBL_%26_Associates_Properties
CBRE Group,CBG,https://www.wikipedia.org/wiki/CBRE_Group
CDI Corporation,CDI,https://www.wikipedia.org/wiki/CDI_Corporation
Cedar Fair,FUN,https://www.wikipedia.org/wiki/Cedar_Fair
Celadon Group,CGI,https://www.wikipedia.org/wiki/Celadon_Group
Celanese,CE,https://www.wikipedia.org/wiki/Celanese
Celestica,CLS,https://www.wikipedia.org/wiki/Celestica
"Cellcom Israel, Ltd.",CEL,https://www.wikipedia.org/wiki/Cellcom_(Israel)
Cementos Pacasmayo,CPAC,https://www.wikipedia.org/wiki/Cementos_Pacasmayo
Cemex,CX,https://www.wikipedia.org/wiki/Cemex
Cencosud,CNCO,https://www.wikipedia.org/wiki/Cencosud
Cenovus Energy,CVE,https://www.wikipedia.org/wiki/Cenovus_Energy
Centene Corporation,CNC,https://www.wikipedia.org/wiki/Centene_Corporation
CenterPoint Energy,CNP,https://www.wikipedia.org/wiki/CenterPoint_Energy
Eletrobras,EBR,https://www.wikipedia.org/wiki/Eletrobras
Central Pacific Bank,CPF,https://www.wikipedia.org/wiki/Central_Pacific_Bank
CenturyLink,CTL,https://www.wikipedia.org/wiki/CenturyLink
Cenveo,CVO,https://www.wikipedia.org/wiki/Cenveo
CF Industries,CF,https://www.wikipedia.org/wiki/CF_Industries
CGG,CGG,https://www.wikipedia.org/wiki/CGG_(company)
CGI Group,GIB,https://www.wikipedia.org/wiki/CGI_Group
Charles River Laboratories,CRL,https://www.wikipedia.org/wiki/Charles_River_Laboratories
Charles Schwab Corporation,SCHW,https://www.wikipedia.org/wiki/Charles_Schwab_Corporation
CHC Helicopter,HELI,https://www.wikipedia.org/wiki/CHC_Helicopter
Checkpoint Systems,CKP,https://www.wikipedia.org/wiki/Checkpoint_Systems
Cheetah Mobile,CMCM,https://www.wikipedia.org/wiki/Cheetah_Mobile
Chegg,CHGG,https://www.wikipedia.org/wiki/Chegg
Chemtura,CHMT,https://www.wikipedia.org/wiki/Chemtura
Chesapeake Energy,CHK,https://www.wikipedia.org/wiki/Chesapeake_Energy
Chesapeake Utilities,CPK,https://www.wikipedia.org/wiki/Chesapeake_Utilities
Chevron Corporation,CVX,https://www.wikipedia.org/wiki/Chevron_Corporation
Chicago Bridge & Iron Company,CBI,https://www.wikipedia.org/wiki/Chicago_Bridge_%26_Iron_Company
"Chico's FAS, Inc.",CHS,https://www.wikipedia.org/wiki/Chico%27s_(clothing_retailer)
China Eastern Airlines,CEA,https://www.wikipedia.org/wiki/China_Eastern_Airlines
China Green Agriculture,CGA,https://www.wikipedia.org/wiki/China_Green_Agriculture
China Life Insurance Company,LFC,https://www.wikipedia.org/wiki/China_Life_Insurance_Company
Mingyang Wind Power,MY,https://www.wikipedia.org/wiki/Mingyang_Wind_Power
China Mobile,CHL,https://www.wikipedia.org/wiki/China_Mobile
China Nepstar,NPD,https://www.wikipedia.org/wiki/China_Nepstar
Sinopec,SNP,https://www.wikipedia.org/wiki/Sinopec
China Southern Airlines,ZNH,https://www.wikipedia.org/wiki/China_Southern_Airlines
China Telecom,CHA,https://www.wikipedia.org/wiki/China_Telecom
China Unicom,CHU,https://www.wikipedia.org/wiki/China_Unicom
China Yuchai International,CYD,https://www.wikipedia.org/wiki/China_Yuchai_International
Chipotle Mexican Grill,CMG,https://www.wikipedia.org/wiki/Chipotle_Mexican_Grill
Chiquita Brands International,CQB,https://www.wikipedia.org/wiki/Chiquita_Brands_International
Choice Hotels,CHH,https://www.wikipedia.org/wiki/Choice_Hotels
Christopher & Banks,CBK,https://www.wikipedia.org/wiki/Christopher_%26_Banks
Chubb Corp.,CB,https://www.wikipedia.org/wiki/Chubb_Corp.
Chunghwa Telecom,CHT,https://www.wikipedia.org/wiki/Chunghwa_Telecom
Church & Dwight,CHD,https://www.wikipedia.org/wiki/Church_%26_Dwight
Ciena,CIEN,https://www.wikipedia.org/wiki/Ciena
Cigna,CI,https://www.wikipedia.org/wiki/Cigna
Cincinnati Bell,CBB,https://www.wikipedia.org/wiki/Cincinnati_Bell
